Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
243,SF Austin,Slnd,18-15,-6.64,96.7,103.4,66.1,0.04,-6.02,102.2,108.3,1.89
244,SC Upstate,ASun,17-16,-6.75,104.6,111.3,68.2,0.016,-4.44,103.9,108.3,-0.87
245,Ark Little Rock,SB,15-17,-6.76,98.6,105.4,63.1,0.023,-3.85,104.0,107.8,-7.27
246,Pacific,WCC,11-22,-6.99,99.8,106.8,66.3,-0.003,1.06,105.3,104.3,-2.74
247,Wagner,NEC,16-14,-7.02,101.3,108.4,62.8,-0.024,-8.91,99.1,108.0,-1.06
248,Bowling Green,MAC,13-19,-7.12,100.4,107.5,69.8,0.01,-1.68,104.2,105.9,-5.99
249,Drexel,CAA,9-23,-7.19,103.2,110.4,70.2,-0.089,-1.2,104.9,106.1,-3.83
250,UNLV,MWC,11-21,-7.29,98.4,105.7,68.2,-0.007,0.73,105.4,104.7,-4.11
251,UT San Antonio,CUSA,14-19,-7.34,95.6,103.0,67.9,0.016,-2.63,103.0,105.6,-0.55
252,Kennesaw,ASun,14-18,-7.43,103.0,110.4,69.2,0.0,-4.65,104.0,108.6,-3.41
253,Long Island,NEC,20-12,-7.53,100.5,108.1,66.8,0.081,-9.6,98.9,108.5,-5.28
254,St Francis PA,NEC,17-17,-7.58,102.5,110.1,70.1,-0.001,-7.87,100.4,108.3,-1.08
255,North Florida,ASun,15-19,-7.59,102.2,109.8,69.7,0.025,-0.35,106.2,106.6,6.9
256,Tennessee Tech,OVC,12-20,-7.97,99.3,107.3,68.1,-0.058,-3.2,103.9,107.1,-2.43
257,Niagara,MAAC,10-23,-8.2,101.5,109.7,68.9,-0.067,-3.83,103.2,107.0,-4.62
258,Drake,MVC,7-24,-8.21,103.4,111.6,69.4,-0.083,1.0,104.3,103.3,-3.4
259,WI Milwaukee,Horz,11-24,-8.28,100.4,108.6,62.4,-0.023,-1.23,104.5,105.7,2.27
260,San Diego,WCC,13-18,-8.36,100.4,108.7,63.1,0.058,-0.78,104.3,105.1,-6.6
261,ULM,SB,9-24,-8.38,98.7,107.1,64.8,-0.116,-1.3,104.0,105.3,-3.52
262,CS Fullerton,BW,17-15,-8.55,97.4,105.9,68.6,0.021,-8.83,100.3,109.1,-8.06
263,Seattle,WAC,13-17,-8.7,96.3,105.0,67.5,-0.023,-4.18,101.9,106.1,-6.5
264,Cornell,Ivy,8-21,-8.72,100.0,108.8,69.5,-0.032,-0.46,105.6,106.1,1.67
265,Robert Morris,NEC,14-19,-8.76,91.9,100.7,68.7,0.032,-5.29,101.6,106.9,4.07
