Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
213,UC Santa Barbara,BW,11-18,-5.04,93.5,98.5,63.4,-0.011,-0.82,99.7,100.5,0.14
214,Monmouth,NEC,16-13,-5.28,94.1,99.4,65.2,0.042,-7.41,96.2,103.6,1.52
215,La Salle,A10,10-19,-5.28,95.3,100.5,66.4,0.026,1.29,100.3,99,1.19
216,Boise St.,WAC,16-18,-5.34,100.4,105.7,71.5,0.079,-0.46,98.3,98.8,-6.85
217,Penn St.,B10,7-23,-5.46,97.7,103.1,68.1,-0.027,8.44,103.6,95.1,-0.55
218,Harvard,Ivy,12-15,-5.52,93.5,99,71.8,0.016,-3.95,96,100,-2.86
219,Maine,AE,14-15,-5.73,89.9,95.6,70,0.05,-4.04,96.3,100.4,-7.15
220,Birmingham Southern,BSth,16-14,-5.88,99.4,105.3,63,-0.015,-8.76,94,102.7,-6.12
221,Belmont,ASun,14-16,-5.96,94.9,100.9,68.7,-0.051,-7.6,96.5,104.1,1.07
222,Wofford,SC,14-14,-6.13,98.2,104.4,69.5,0.01,-4.14,96.6,100.8,-0.23
223,South Alabama,SB,10-18,-6.14,92.5,98.7,65.9,-0.028,0.85,100.3,99.4,3.24
224,Delaware,CAA,11-20,-6.24,91.9,98.1,70.3,-0.064,-2.1,98.6,100.7,-1.03
225,Utah Valley St.,ind,16-12,-6.38,97.9,104.2,65.5,0.04,-9.23,94.6,103.8,-5.8
226,High Point,BSth,13-18,-6.4,93.6,100,74.4,-0.12,-8.63,95,103.7,-2.44
227,Cornell,Ivy,13-14,-6.73,98.1,104.8,65.1,0.037,-5.52,95.7,101.2,-6.52
228,McNeese St.,Slnd,13-15,-6.79,94.2,101,76.1,-0.012,-3.88,97.5,101.4,3.29
229,Eastern Illinois,OVC,12-16,-6.86,97.4,104.3,69.1,0.056,-2.14,99.3,101.5,1.21
230,Southern Miss,CUSA,11-17,-6.98,99.4,106.3,67.2,-0.008,1.89,99.9,98,-6.98
231,Marist,MAAC,11-17,-7.02,98.2,105.2,68.8,-0.019,-4.33,98.2,102.5,-2.62
232,Northern Arizona,BSky,11-17,-7.04,98.6,105.6,75,-0.128,-6.51,94.9,101.4,-2.21
233,Hampton,MEAC,17-13,-7.12,90.8,97.9,68.9,0.03,-12.36,91,103.4,-1.98
234,Georgia St.,ASun,14-15,-7.24,98.5,105.7,67.9,0.033,-6.07,96.8,102.9,10.32
235,Long Beach St.,BW,10-20,-7.34,90.3,97.6,66.9,0.009,-0.58,99.7,100.3,0.39
236,Baylor,B12,9-19,-7.43,100,107.5,66.5,-0.051,5.71,101.7,96,-16.06
237,Montana St.,BSky,14-14,-7.44,91.6,99,70.7,0,-6.71,95.4,102.1,-3.13
238,Central Michigan,MAC,10-18,-7.49,94,101.5,72.3,0.045,4.02,102.9,98.8,0.76
239,Brown,Ivy,12-16,-7.49,95.7,103.2,69.3,-0.024,-5.26,95.4,100.7,-5.99
240,Central Connecticut,NEC,12-16,-7.79,98.9,106.7,66.3,-0.04,-7.83,96.6,104.4,-0.04
241,Chicago St.,MCon,9-19,-7.93,93.8,101.7,67.9,0.016,-1.31,100.9,102.2,4.07
242,Florida Atlantic,ASun,10-17,-7.93,96,104,75.9,-0.074,-7.87,95.9,103.7,2.87
243,St. Francis NY,NEC,13-15,-7.94,93.3,101.2,72.4,-0.03,-9.11,94.7,103.8,-5.67
244,Mercer,ASun,16-12,-8.04,98.6,106.6,74,0.01,-9.88,94.5,104.4,-5.57
245,Weber St.,BSky,14-16,-8.07,98.2,106.3,65.3,0.01,-6.92,95.2,102.1,-3.46
246,Colgate,Pat,12-16,-8.33,95.6,103.9,67.9,0.023,-4.51,95.5,100,-2.09
247,Idaho,BW,8-22,-8.34,92.6,101,65.8,-0.049,-1.57,98.7,100.2,-2.93
248,Tulane,CUSA,10-18,-8.41,95.9,104.3,69.8,0.018,1.42,99.4,98,-10.99
249,Coppin St.,MEAC,13-15,-8.6,89.3,97.9,66.7,0.039,-7.42,93.9,101.3,14.93
250,Rhode Island,A10,6-22,-8.7,91.7,100.4,64.7,-0.024,0.49,99.1,98.6,1.33
251,Columbia,Ivy,12-15,-8.74,91.8,100.6,69.1,-0.014,-7.61,94.6,102.2,-11.27
252,UT Arlington,Slnd,13-15,-8.79,93.2,102,71.8,0.011,-4.23,97.4,101.6,5.05
253,Stony Brook,AE,12-17,-8.84,92.3,101.2,67.5,0.037,-4.28,95.7,99.9,-5.38
254,Wagner,NEC,13-17,-8.88,90.6,99.5,65.9,0.018,-7.2,96.4,103.6,0.39
255,Duquesne,A10,8-22,-9.12,98.6,107.7,69.4,-0.007,1.15,100.1,99,0.79
256,Texas St.,Slnd,14-14,-9.14,97.5,106.6,65.7,0.031,-6.08,95.4,101.5,-3.24
