Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
221.0,Bucknell,Pat,14-15,-5.71,88.3,94.0,65.9,-0.005,-5.55,96.5,102.1,-4.2,2003.0,1137,Bucknell
222.0,Winthrop,BSth,18-10,-5.84,93.4,99.2,70.8,0.057,-11.25,93.7,104.9,-5.36,2003.0,1457,Winthrop
260.0,TX Southern,SWAC,18-13,-10.23,95.8,106.0,71.3,0.038,-12.02,92.1,104.2,-5.75,2003.0,1411,TX Southern
299.0,Mt St Mary's,NEC,11-16,-15.87,87.4,103.3,67.7,0.102,-9.38,95.4,104.8,-4.76,2003.0,1291,Mt St Mary's
,,,,,,,,,,,,,,1195,FL Gulf Coast
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1300,NC Central
,,,,,,,,,,,,,,1315,North Dakota
,,,,,,,,,,,,,,1355,S Dakota St
,,,,,,,,,,,,,,1413,UC Davis
1.0,Duke,ACC,31-6,31.51,115.9,84.4,71.4,-0.028,12.99,106.1,93.1,4.67,2004.0,1181,Duke
4.0,Oklahoma St,B12,31-4,26.74,113.8,87.0,68.2,0.03,8.01,104.3,96.3,-1.95,2004.0,1329,Oklahoma St
6.0,Wisconsin,B10,25-7,25.1,111.5,86.4,63.7,0.0,8.73,104.6,95.9,5.88,2004.0,1458,Wisconsin
7.0,Gonzaga,WCC,28-3,24.75,116.2,91.4,70.3,0.013,3.47,101.9,98.5,7.86,2004.0,1211,Gonzaga
10.0,Kentucky,SEC,27-5,22.83,109.2,86.3,69.5,0.032,9.34,104.7,95.4,5.07,2004.0,1246,Kentucky
11.0,North Carolina,ACC,19-11,22.69,112.6,89.9,74.3,-0.091,14.51,107.1,92.6,5.5,2004.0,1314,North Carolina
14.0,Wake Forest,ACC,21-10,21.18,117.9,96.7,73.4,-0.018,13.88,106.1,92.3,3.83,2004.0,1448,Wake Forest
17.0,Cincinnati,CUSA,25-7,21.11,111.8,90.7,69.8,0.003,6.76,102.7,95.9,3.07,2004.0,1153,Cincinnati
18.0,Kansas,B12,24-9,20.45,108.6,88.1,72.3,0.018,10.83,105.8,95.0,8.4,2004.0,1242,Kansas
19.0,Louisville,CUSA,20-10,19.97,102.7,82.7,70.9,-0.078,7.8,103.8,96.0,7.03,2004.0,1257,Louisville
20.0,Nevada,WAC,25-9,19.79,108.0,88.2,72.0,-0.038,6.95,104.0,97.1,5.41,2004.0,1305,Nevada
21.0,Xavier,A10,26-11,19.76,109.5,89.7,67.6,-0.022,7.07,103.8,96.8,4.02,2004.0,1462,Xavier
22.0,Maryland,ACC,20-12,19.27,106.4,87.1,74.7,-0.008,14.75,108.7,94.0,3.02,2004.0,1268,Maryland
23.0,Vanderbilt,SEC,23-10,18.13,108.9,90.7,68.5,-0.002,8.59,104.6,96.0,-2.82,2004.0,1435,Vanderbilt
24.0,Providence,BE,20-9,17.95,107.7,89.8,68.2,0.002,9.2,104.3,95.1,5.81,2004.0,1344,Providence
25.0,Florida,SEC,20-11,17.8,111.8,94.0,69.7,-0.023,10.41,104.6,94.2,3.79,2004.0,1196,Florida
26.0,Seton Hall,BE,21-10,16.99,107.6,90.6,69.1,-0.004,8.62,103.8,95.2,1.79,2004.0,1371,Seton Hall
27.0,Florida St,ACC,19-14,16.96,104.3,87.3,68.1,-0.089,10.67,105.5,94.9,-4.12,2004.0,1199,Florida St
32.0,Arizona,P10,20-10,15.81,113.9,98.1,76.8,-0.072,6.29,103.3,97.0,7.41,2004.0,1112,Arizona
35.0,Michigan St,B10,18-12,15.29,113.0,97.7,66.7,-0.015,9.35,103.6,94.3,9.29,2004.0,1277,Michigan St
39.0,South Carolina,SEC,23-11,14.7,105.4,90.7,68.3,-0.0,6.68,102.4,95.7,-5.22,2004.0,1376,South Carolina
45.0,Michigan,B10,23-11,13.69,102.5,88.8,69.6,0.019,6.75,103.6,96.8,0.7,2004.0,1276,Michigan
52.0,Notre Dame,BE,19-13,12.73,109.4,96.7,67.4,-0.024,8.19,103.8,95.6,-1.47,2004.0,1323,Notre Dame
53.0,Villanova,BE,18-17,12.02,105.3,93.3,69.3,-0.049,9.24,104.5,95.2,4.5,2004.0,1437,Villanova
56.0,Purdue,B10,17-14,11.33,100.1,88.7,66.1,-0.065,5.58,103.5,97.9,-0.89,2004.0,1345,Purdue
57.0,Wichita St,MVC,21-11,11.33,104.9,93.6,69.6,-0.075,2.61,100.1,97.5,1.36,2004.0,1455,Wichita St
59.0,St Mary's CA,WCC,19-12,10.71,106.0,95.3,70.8,-0.083,1.28,101.7,100.5,1.04,2004.0,1388,St Mary's CA
64.0,Creighton,MVC,20-9,10.19,103.2,93.0,66.9,0.005,1.74,100.0,98.3,-2.25,2004.0,1166,Creighton
65.0,Iowa St,B12,20-13,10.1,105.0,94.9,72.9,0.066,9.01,104.7,95.7,1.31,2004.0,1235,Iowa St
68.0,Virginia,ACC,18-13,10.0,105.2,95.2,72.5,0.099,11.8,105.8,94.0,-4.15,2004.0,1438,Virginia
71.0,Dayton,A10,24-9,9.67,104.4,94.7,65.4,0.085,4.5,102.6,98.1,0.17,2004.0,1173,Dayton
74.0,Kent,MAC,22-9,9.51,102.5,93.0,68.6,0.01,0.49,100.5,100.0,1.25,2004.0,1245,Kent
80.0,Oregon,P10,18-13,8.97,106.4,97.4,71.0,0.027,6.73,103.3,96.5,4.1,2004.0,1332,Oregon
81.0,VA Commonwealth,CAA,23-8,8.85,100.8,92.0,68.6,0.076,0.25,99.0,98.8,1.27,2004.0,1433,VA Commonwealth
83.0,Kansas St,B12,14-14,8.69,100.0,91.4,68.8,-0.079,5.9,103.4,97.5,-5.41,2004.0,1243,Kansas St
