Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
285,Brown,Ivy,11-20,-11.89,96.5,108.4,68.6,0.003,-4.29,96,100.3,-2.51
286,Pepperdine,WCC,7-24,-11.94,94.3,106.2,68.8,-0.002,1.26,101.2,99.9,-0.49
287,High Point,BSth,15-15,-12.13,93.9,106,71,0.05,-10.89,92.9,103.8,-6.71
288,Alabama St.,SWAC,16-15,-12.31,89.9,102.2,68.8,0.021,-13.06,89.3,102.3,2.4
289,Sacramento St.,BSky,9-21,-12.33,90.1,102.5,69.5,-0.003,-2.48,98.9,101.3,-2.99
290,Navy,Pat,13-17,-12.41,92.2,104.6,74.2,0.076,-8.35,95,103.3,-7.2
291,Colgate,Pat,10-19,-12.43,94.3,106.7,68.8,-0.03,-7.97,94.5,102.5,-6.54
292,Bethune Cookman,MEAC,17-16,-12.76,90.1,102.8,62.1,0.043,-10.74,92.5,103.2,-4
293,American,Pat,11-20,-12.76,90.8,103.6,65.6,0.015,-7.65,95.7,103.4,-6.02
294,Charleston Southern,BSth,13-16,-12.81,90.9,103.7,66,0.009,-9.01,94.3,103.3,2.09
295,Albany,AE,7-25,-12.91,93.2,106.2,66.8,-0.073,-4.99,95.8,100.7,-2.4
296,Monmouth,NEC,12-19,-13.24,88.7,102,68.9,-0.031,-9.42,93.4,102.8,-4.11
297,Columbia,Ivy,11-17,-13.27,88.5,101.8,66.7,0.039,-7.3,95.2,102.5,-8.56
298,Longwood,ind,12-19,-13.28,94.7,107.9,75.2,0.01,-6.53,94.4,101,-3.57
299,UMKC,Sum,12-18,-13.31,94.5,107.8,68.1,0.042,-6.41,96,102.4,-6.44
300,Georgia Southern,SC,9-23,-13.4,94.2,107.6,73.7,0.079,-0.78,99.5,100.3,1.53
301,Florida Gulf Coast,ASun,8-21,-13.53,90.8,104.3,70,0.009,-5.49,95.8,101.2,-6.51
302,North Carolina A&T,MEAC,11-22,-13.64,90.1,103.7,71.2,-0.042,-7.37,94.4,101.7,2.17
303,Northwestern St.,Slnd,10-19,-13.69,93.6,107.3,76.7,-0.007,-6.35,96.2,102.6,-4.82
304,Central Arkansas,Slnd,9-21,-13.98,89,103,66.9,-0.09,-7.01,96.3,103.3,-6.91
305,Fordham,A10,2-26,-14.03,89.5,103.5,74.2,-0.046,3.82,100.9,97.1,-2.95
306,FIU,SB,7-25,-14.14,95,109.2,69.9,-0.018,-3.38,97.8,101.2,-1.75
307,Savannah St.,ind,11-15,-14.23,86.3,100.5,64.3,0.021,-7.7,93.7,101.4,-4.84
308,Penn,Ivy,6-22,-14.29,93.9,108.2,66.6,-0.043,-3.6,97.3,100.9,-1.45
309,Central Connecticut,NEC,12-18,-15.23,89,104.2,65.9,-0.009,-11.83,91.9,103.7,-9.39
310,Prairie View A&M,SWAC,16-14,-15.37,82.1,97.4,69.5,0.047,-13.55,89.8,103.4,4.25
311,St. Francis NY,NEC,11-18,-15.46,85.7,101.2,66.9,0.046,-10.84,92.9,103.7,-5.68
312,Hartford,AE,8-22,-15.5,91.6,107.1,66.3,-0.039,-6.47,95.5,101.9,-6.63
313,Southeast Missouri St.,OVC,7-23,-15.64,86.7,102.4,70,-0.045,-3.53,98.2,101.7,-0.88
314,St. Francis PA,NEC,11-19,-16.14,92.8,108.9,66.2,0.027,-8.42,93.8,102.2,-1.24
315,New Orleans,SB,8-22,-16.27,85.6,101.9,66.7,0.001,-5.09,96.7,101.8,-5.62
316,Fairleigh Dickinson,NEC,11-21,-16.97,88.3,105.3,70.4,0.053,-8.71,94,102.8,-1.66
317,VMI,BSth,10-19,-17.76,99,116.8,85.4,-0.001,-7.92,93.4,101.3,4.35
318,Maryland Eastern Shore,MEAC,11-21,-18.09,87.7,105.8,68,0.056,-9.43,93.3,102.7,-2.99
319,Centenary,Sum,8-21,-18.17,92.1,110.2,72.5,0.009,-4.44,97.3,101.8,0.66
320,Texas Pan American,GWC,6-25,-18.23,85.9,104.1,69.2,-0.082,-8.02,94.5,102.5,1.04
321,Houston Baptist,GWC,12-21,-18.79,90,108.8,75.8,0.049,-12.12,91.6,103.7,-5.28
322,UMBC,AE,4-26,-18.84,91.9,110.7,68.8,-0.072,-6.08,95.3,101.4,-6.15
323,Coppin St.,MEAC,8-22,-19.02,85.8,104.8,68.1,-0.088,-9.34,93.3,102.7,-1.6
324,Southern Utah,Sum,7-22,-19.03,86.1,105.2,69.3,-0.005,-3.96,98.2,102.2,1.41
325,Toledo,MAC,4-28,-19.13,85.6,104.7,63.5,0.008,0.44,99.5,99.1,2.27
326,Utah Valley,GWC,12-18,-19.14,86.7,105.8,65.4,-0.028,-12.26,92,104.3,-3.08
327,Alabama A&M,SWAC,11-16,-19.29,84,103.3,73.5,-0.016,-14.81,88.2,103,5.52
328,Mississippi Valley St.,SWAC,9-23,-19.92,87.9,107.9,70.5,-0.005,-10.49,90.7,101.2,2.09
329,Presbyterian,BSth,5-26,-20.23,87.8,108,65.7,-0.05,-5.34,95.8,101.1,7.3
330,Stetson,ASun,7-22,-20.33,87,107.4,68.6,0.043,-3.07,96.9,99.9,3.38
331,Winston Salem St.,ind,12-17,-20.34,83.3,103.7,69.7,0.074,-7.95,94.3,102.2,-7.95
332,Gardner Webb,BSth,8-21,-20.35,87.1,107.4,72.9,-0.005,-6.72,95.6,102.3,7.3
333,Florida A&M,MEAC,9-22,-20.43,88.9,109.3,69.5,0.054,-8.24,93.5,101.8,-0.56
334,Tennessee Martin,OVC,4-25,-20.61,86.4,107,72.8,-0.015,-3.42,97.7,101.1,-0.39
335,Marist,MAAC,1-29,-21.41,87.1,108.5,65.8,-0.014,-1.24,97.4,98.7,-5.02
336,Wagner,NEC,5-26,-21.49,85.8,107.3,68.6,-0.014,-9.91,92.6,102.5,-7.92
337,Howard,MEAC,7-25,-21.53,84.7,106.2,67.5,0.01,-8.29,93.9,102.2,-1.94
338,NJIT,GWC,10-21,-21.73,81.5,103.2,70.3,-0.059,-12.41,92.6,105,-3.63
339,North Carolina Central,ind,7-22,-21.98,82.4,104.3,69.3,-0.016,-5.68,95.8,101.5,-3.65
340,SIU Edwardsville,ind,5-23,-22.69,84.7,107.4,70.1,0.005,-4.14,97.3,101.5,-4.14
341,Dartmouth,Ivy,5-23,-23.72,79.7,103.4,65.7,0.023,-5.38,96.2,101.6,-6.1
342,Chicago St.,GWC,9-23,-24.08,81.5,105.5,70.7,0,-11.48,92.9,104.4,-3.45
343,North Dakota,GWC,8-23,-24.28,89.7,114,67.5,-0.005,-10.86,92.3,103.2,-1.86
344,Grambling St.,SWAC,7-21,-24.42,85.7,110.1,70.8,-0.002,-13.81,89.2,103,-0.88
345,Southern,SWAC,5-25,-26.16,80,106.1,71.8,-0.025,-12.72,89.9,102.6,-0.54
346,Bryant,NEC,1-29,-31.49,76,107.5,65.3,-0.029,-8.23,94.8,103.1,-1.28
347,Alcorn St.,SWAC,2-29,-31.92,77.9,109.8,75.3,-0.03,-10.29,91.6,101.9,2.18
